nohup: les entrées sont ignorées

  .   ____          _            __ _ _
 /\\ / ___'_ __ _ _(_)_ __  __ _ \ \ \ \
( ( )\___ | '_ | '_| | '_ \/ _` | \ \ \ \
 \\/  ___)| |_)| | | | | || (_| |  ) ) ) )
  '  |____| .__|_| |_|_| |_\__, | / / / /
 =========|_|==============|___/=/_/_/_/

 :: Spring Boot ::                (v3.3.4)

2024-11-09T10:04:12.803Z  INFO 54944 --- [backendwave] [   scheduling-1] c.b.job.TransactionStatusUpdateJob       : Début du job de mise à jour des transactions en attente
2024-11-09T10:05:12.809Z  INFO 54944 --- [backendwave] [   scheduling-1] c.b.job.TransactionStatusUpdateJob       : Début du job de mise à jour des transactions en attente
2024-11-09T10:06:12.816Z  INFO 54944 --- [backendwave] [   scheduling-1] c.b.job.TransactionStatusUpdateJob       : Début du job de mise à jour des transactions en attente
2024-11-09T10:07:12.821Z  INFO 54944 --- [backendwave] [   scheduling-1] c.b.job.TransactionStatusUpdateJob       : Début du job de mise à jour des transactions en attente
2024-11-09T10:08:12.826Z  INFO 54944 --- [backendwave] [   scheduling-1] c.b.job.TransactionStatusUpdateJob       : Début du job de mise à jour des transactions en attente
2024-11-09T10:09:12.832Z  INFO 54944 --- [backendwave] [   scheduling-1] c.b.job.TransactionStatusUpdateJob       : Début du job de mise à jour des transactions en attente
2024-11-09T10:10:12.836Z  INFO 54944 --- [backendwave] [   scheduling-1] c.b.job.TransactionStatusUpdateJob       : Début du job de mise à jour des transactions en attente
2024-11-09T10:11:12.842Z  INFO 54944 --- [backendwave] [   scheduling-1] c.b.job.TransactionStatusUpdateJob       : Début du job de mise à jour des transactions en attente
2024-11-09T10:12:12.846Z  INFO 54944 --- [backendwave] [   scheduling-1] c.b.job.TransactionStatusUpdateJob       : Début du job de mise à jour des transactions en attente
2024-11-09T10:13:12.852Z  INFO 54944 --- [backendwave] [   scheduling-1] c.b.job.TransactionStatusUpdateJob       : Début du job de mise à jour des transactions en attente
2024-11-09T10:14:12.858Z  INFO 54944 --- [backendwave] [   scheduling-1] c.b.job.TransactionStatusUpdateJob       : Début du job de mise à jour des transactions en attente
2024-11-09T10:15:12.864Z  INFO 54944 --- [backendwave] [   scheduling-1] c.b.job.TransactionStatusUpdateJob       : Début du job de mise à jour des transactions en attente
2024-11-09T10:16:12.869Z  INFO 54944 --- [backendwave] [   scheduling-1] c.b.job.TransactionStatusUpdateJob       : Début du job de mise à jour des transactions en attente
2024-11-09T10:17:12.874Z  INFO 54944 --- [backendwave] [   scheduling-1] c.b.job.TransactionStatusUpdateJob       : Début du job de mise à jour des transactions en attente
2024-11-09T10:41:24.239Z  INFO 54944 --- [backendwave] [   scheduling-1] c.b.job.TransactionStatusUpdateJob       : Début du job de mise à jour des transactions en attente
2024-11-09T10:42:24.245Z  INFO 54944 --- [backendwave] [   scheduling-1] c.b.job.TransactionStatusUpdateJob       : Début du job de mise à jour des transactions en attente
2024-11-09T10:43:24.249Z  INFO 54944 --- [backendwave] [   scheduling-1] c.b.job.TransactionStatusUpdateJob       : Début du job de mise à jour des transactions en attente
